time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour,time_utc
1554581030,4401f8,52.16258239746094,4.476394653320312,132.1970941903287,39.94831065623757,-6.177280000000001,EJU56ZD,false,false,false,6751,716.2800000000001,647.7,1554581029.849,1554581029.993,1554580800,2019-04-06 20:03:50
1554581031,4401f8,52.16355145987818,4.477713448660714,132.1970941903287,39.94831065623757,-5.85216,EJU56ZD,false,false,false,6751,708.6600000000001,640.08,1554581030.646,1554581030.998,1554580800,2019-04-06 20:03:51
1554581032,4401f8,52.16434284792108,4.478733607700893,131.8673613802175,39.77695182415932,-5.52704,EJU56ZD,false,false,false,6751,701.0400000000001,632.46,1554581031.849,1554581031.96,1554580800,2019-04-06 20:03:52
1554581033,4401f8,52.16510009765625,4.479827880859375,131.4724021007087,39.92039213998543,-4.8768,EJU56ZD,false,false,false,6751,701.0400000000001,632.46,1554581032.79,1554581032.98,1554580800,2019-04-06 20:03:53
1554581034,4401f8,52.16606528072034,4.481166294642858,131.4724021007087,39.92039213998543,-4.55168,EJU56ZD,false,false,false,6751,693.4200000000001,624.84,1554581033.702,1554581033.977,1554580800,2019-04-06 20:03:54
1554581035,4401f8,52.16722908666578,4.482735770089286,130.7477415728883,39.89216414398722,-4.22656,EJU56ZD,false,false,false,6751,693.4200000000001,624.84,1554581034.791,1554581034.995,1554580800,2019-04-06 20:03:55
1554581036,4401f8,52.16722908666578,4.482735770089286,130.7477415728883,39.89216414398722,-3.57632,EJU56ZD,false,false,false,6751,685.8000000000001,617.22,1554581034.791,1554581035.865,1554580800,2019-04-06 20:03:56
1554581037,4401f8,52.16895151946504,4.485089983258929,130.3534504862717,40.03718490699595,-3.2512,EJU56ZD,false,false,false,6751,685.8000000000001,617.22,1554581036.799,1554581036.99,1554580800,2019-04-06 20:03:57
1554581038,4401f8,52.16990661621094,4.48638916015625,130.0231131345796,39.86362150757227,-2.60096,EJU56ZD,false,false,false,6751,685.8000000000001,617.22,1554581037.802,1554581037.967,1554580800,2019-04-06 20:03:58
1554581039,4401f8,52.17063903808594,4.487380981445312,129.6286595692945,40.00936619653774,-2.27584,EJU56ZD,false,false,false,6751,685.8000000000001,617.22,1554581038.591,1554581038.907,1554580800,2019-04-06 20:03:59
1554581040,4401f8,52.17160034179688,4.488677978515625,129.6286595692945,40.00936619653774,-1.95072,EJU56ZD,false,false,false,6751,678.1800000000001,609.6,1554581039.772,1554581039.977,1554580800,2019-04-06 20:04:00
1554581041,4401f8,52.17258259401483,4.490033830915179,129.2985173253008,39.83475895500424,-1.6256,EJU56ZD,false,false,false,6751,678.1800000000001,609.6,1554581040.966,1554581040.968,1554580800,2019-04-06 20:04:01
1554581042,4401f8,52.17365329548464,4.491524832589286,128.903899554295,39.98123465891889,-1.30048,EJU56ZD,false,false,false,6751,678.1800000000001,609.6,1554581041.965,1554581041.994,1554580800,2019-04-06 20:04:02
1554581043,4401f8,52.17425847457627,4.4923095703125,128.1791709654576,39.95278500138858,-1.30048,EJU56ZD,false,false,false,6751,678.1800000000001,609.6,1554581042.969,1554581042.998,1554580800,2019-04-06 20:04:03
1554581044,4401f8,52.1753757282839,4.493879045758929,128.1791709654576,39.95278500138858,-0.97536,EJU56ZD,false,false,false,6751,670.5600000000001,601.98,1554581043.9,1554581043.98,1554580800,2019-04-06 20:04:04
1554581045,4401f8,52.17631530761719,4.495086669921875,127.7852386533406,40.10090754621224,-0.65024,EJU56ZD,false,false,false,6751,670.5600000000001,601.98,1554581044.906,1554581044.955,1554580800,2019-04-06 20:04:05
1554581046,4401f8,52.17686462402344,4.495849609375,127.0603780985806,40.07289005235099,-0.32512,EJU56ZD,false,false,false,6751,670.5600000000001,601.98,1554581045.897,1554581045.944,1554580800,2019-04-06 20:04:06
1554581047,4401f8,52.17779644465042,4.497174944196429,126.6671450746799,40.22269368289015,-0.32512,EJU56ZD,false,false,false,6751,670.5600000000001,601.98,1554581046.878,1554581046.958,1554580800,2019-04-06 20:04:07
